ShaderPreCompiler: Disabled, debugging variants to pre-compile.
02-11 10:04:09.780  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Unlit/Unlit_TransparentColor (instance 0x176), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 3.7 ms
02-11 10:04:09.812  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Additive/Additive (instance 0x1B8), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 33 ms
02-11 10:04:09.853  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/Universal/CoreBlit (instance 0x1D4), pass: BilinearDebugDraw, keywords <no keywords>, time: 37 ms
02-11 10:04:09.867  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/Internal-GUITexture (instance 0x5E), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.12 ms
02-11 10:04:17.056  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/TextOutline_Unlit (instance 0x42), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.28 ms
02-11 10:04:17.070  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Unlit/Unlit_TransparentColor (instance 0x511C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.13 ms
02-11 10:04:17.070  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Additive/Additive (instance 0x5152), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.068 ms
02-11 10:04:17.070  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Text_Unlit (instance 0x2E), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.33 ms
02-11 10:04:17.748  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/FX/FX_XPBar (instance 0x5642), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.28 ms
02-11 10:04:17.758  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Unlit/Unlit_TextureColor (instance 0x52C8), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 9.7 ms
02-11 10:04:17.760  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Obsolete/Pegasus/Text Shader Z (instance 0x52B8), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 1.5 ms
02-11 10:04:20.415  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/Internal-GUITextureClip (instance 0x5A), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.78 ms
02-11 10:04:20.503  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/Internal-GUITextureClipText (instance 0x5C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.48 ms
02-11 10:04:20.650  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Unlit/Unlit_Texture (instance 0x512C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.31 ms
02-11 10:04:21.136  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Self-Illumin_Diffuse (instance 0x53F8), pass: <Unnamed Pass 0>, keywords _ADDITIONAL_LIGHTS, time: 18 ms
02-11 10:04:21.159  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/BoxRing (instance 0x58FE), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 23 ms
02-11 10:04:21.183  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/AddMultiply/AddMultiply (instance 0x5104), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 24 ms
02-11 10:04:21.198  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Multiply/Multiply (instance 0x513C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 15 ms
02-11 10:04:21.215  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Effects/FX_AdditiveVertColor (instance 0x5A4C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 17 ms
02-11 10:04:21.225  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/AddMultiply/AddMultiplyFXScrolling (instance 0x5274), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 9.8 ms
02-11 10:04:21.241  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Particle/Particle Additive + 1 (instance 0x510A), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 16 ms
02-11 10:04:21.251  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Particle/Particle Multiply (instance 0x51CA), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 9.5 ms
02-11 10:04:45.245  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Unlit_Transparent (instance 0x5132), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.18 ms
02-11 10:04:54.124  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/FullScreen/Desaturation (instance 0x1EC), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 1.3 ms
02-11 10:04:54.141  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/FullScreen/Desaturation (instance 0x1EC), pass: <Unnamed Pass 1>, keywords <no keywords>, time: 17 ms
02-11 10:04:54.153  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/FullScreen/Blur (instance 0x1A2), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 11 ms
02-11 10:04:54.174  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/FullScreen/Blend (instance 0x1D2), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 21 ms
02-11 10:04:54.192  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/BlitCopy (instance 0x4E), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 17 ms
02-11 10:04:56.199  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Diffuse/Diffuse Render Late Split (instance 0x5AB0), pass: <Unnamed Pass 0>, keywords _ADDITIONAL_LIGHTS, time: 0.16 ms
02-11 10:04:56.214  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Diffuse/Diffuse (instance 0x51E4), pass: <Unnamed Pass 0>, keywords _ADDITIONAL_LIGHTS, time: 14 ms
02-11 10:04:56.225  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Effects/DiffuseEmissive (instance 0x5DB8), pass: <Unnamed Pass 0>, keywords _ADDITIONAL_LIGHTS, time: 11 ms
02-11 10:04:56.241  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_NONE _DISSOLVE_NONE _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NONE _TEXTURETYPE_RGBR, time: 16 ms
02-11 10:04:56.255  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_SECONDALPHA _SECONDTEXGLOBALUV_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_MASK _TEXTURETYPE_RGBA, time: 14 ms
02-11 10:04:56.268  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Particle/Particles_Transparent (instance 0x519A), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 13 ms
02-11 10:04:56.279  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_MAINALPHA _SECONDTEXGLOBALUV_ON _SECONDTEXTURETYPE_MAKEBW _SECONDTEXTURE_NOISEUV _TEXTURETYPE_RGBR, time: 11 ms
02-11 10:04:56.291  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/HS_URP/BlitToTexture (instance 0x17C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 12 ms
02-11 10:04:56.299  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/FX/FX_Retical (instance 0x547E), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 7.9 ms
02-11 10:04:56.423  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Diffuse/DiffuseColor (instance 0x50EE), pass: <Unnamed Pass 0>, keywords _ADDITIONAL_LIGHTS, time: 0.63 ms
02-11 10:04:56.446  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Diffuse/DiffuseAlphaMaskScroller (instance 0x53A0), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 22 ms
02-11 10:04:56.463  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Diffuse/Diffuse Render Late Split Mask (instance 0x595E), pass: <Unnamed Pass 0>, keywords _ADDITIONAL_LIGHTS, time: 17 ms
02-11 10:04:56.483  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Diffuse/Diffuse_Transparent (instance 0x5226), pass: <Unnamed Pass 0>, keywords _ADDITIONAL_LIGHTS, time: 19 ms
02-11 10:04:56.500  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/TextOutline_Unlit_NoVertColor (instance 0x38), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 17 ms
02-11 10:04:57.306  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_MAINALPHA _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_MASK _TEXTURETYPE_RGBA, time: 0.29 ms
02-11 10:04:57.446  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Unlit/Color/White (instance 0x1E6), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.18 ms
02-11 10:04:57.455  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Selection/HighlightMultiSample (instance 0x18C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 9.1 ms
02-11 10:04:57.476  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Unlit/Color/DarkGrey (instance 0x1A6), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 20 ms
02-11 10:04:57.493  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/Universal Render Pipeline/CopyDepth (instance 0x1EA), pass: CopyDepth, keywords <no keywords>, time: 11 ms
02-11 10:04:57.499  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/DecalProjector (instance 0x1C8), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 5.7 ms
02-11 10:04:57.523  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/TextAntialiasing (instance 0x3C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 23 ms
02-11 10:04:57.538  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/AddMultiply/AddMultiplyFXRotation (instance 0x516C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 15 ms
02-11 10:04:58.261  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Unlit/Color/Grey (instance 0x1EE), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.61 ms
02-11 10:04:58.264  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Selection/HighlightMultiSampleBlend (instance 0x15C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 2.6 ms
02-11 10:04:58.272  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Unlit/Color/LightGrey (instance 0x1B4), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 8.3 ms
02-11 10:04:58.281  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Selection/HighlightMaskBlend (instance 0x156), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 8.4 ms
02-11 10:04:58.376  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Card/UnlitTextureTint (instance 0x591E), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 7.3 ms
02-11 10:04:58.377  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Card/Diffuse (instance 0x515E), pass: <Unnamed Pass 0>, keywords _ADDITIONAL_LIGHTS, time: 1.5 ms
